"word","polarity"
"responsive",0.61
"restful",0.31
"restored",0.41
"restructure",0.71
"restructured",0.81
"restructuring",0.91
"retractable",0.71
"revel",0.11
"revelation",0.61
"revere",0.21
"reverence",0.51
"reverent",0.41
"reverently",0.61
"revitalize",0.61
"revival",0.31
"revive",0.21
"revives",0.31
"revolutionary",0.91
"revolutionize",0.91
"revolutionized",1.01
"revolutionizes",1.01
"reward",0.21
"rewarding",0.51
"rewardingly",0.71
"rich",0.01
"richer",0.21
"richly",0.21
"richness",0.41
"right",0.11
"righten",0.31
"righteous",0.51
"righteously",0.71
"righteousness",0.91
"rightful",0.41
"rightfully",0.61
"rightly",0.31
"rightness",0.51
"risk-free",0.51
"robust",0.21
"rock-star",0.51
"rock-stars",0.61
"rockstar",0.41
"rockstars",0.51
"romantic",0.41
"romantically",0.81
"romanticize",0.71
"roomier",0.31
"roomy",0.11
"rosy",0.01
"safe",0.01
"safely",0.21
"sagacity",0.41
"sagely",0.21
"saint",0.11
"saintliness",0.71
"saintly",0.31
"salutary",0.41
"salute",0.21
"sane",0.01
"satisfactorily",1.01
"satisfactory",0.81
"satisfied",0.51
"satisfies",0.51
"satisfy",0.31
"satisfying",0.61
"satisified",0.61
"saver",0.11
"savings",0.31
"savior",0.21
"savvy",0.11
"scenic",0.21
"seamless",0.41
"seasoned",0.41
"secure",0.21
"securely",0.41
"selective",0.51
"self-determination",1.41
"self-respect",0.81
"self-satisfaction",1.31
"self-sufficiency",1.21
"self-sufficient",1.11
"sensation",0.51
"sensational",0.71
"sensationally",0.91
"sensations",0.61
"sensible",0.41
"sensibly",0.41
"sensitive",0.51
"serene",0.21
"serenity",0.41
"sexy",0.01
"sharp",0.11
"sharper",0.31
"sharpest",0.41
"shimmering",0.61
"shimmeringly",0.81
"shine",0.11
"shiny",0.11
"significant",0.71
"silent",0.21
"simpler",0.31
"simplest",0.41
"simplified",0.61
"simplifies",0.61
"simplify",0.41
"simplifying",0.71
"sincere",0.31
"sincerely",0.51
"sincerity",0.51
"skill",0.11
"skilled",0.31
"skillful",0.41
"skillfully",0.61
"slammin",0.31
"sleek",0.11
"slick",0.11
"smart",0.11
"smarter",0.31
"smartest",0.41
"smartly",0.31
"smile",0.11
"smiles",0.21
"smiling",0.31
"smilingly",0.51
"smitten",0.31
"smooth",0.21
"smoother",0.41
"smoothes",0.41
"smoothest",0.51
"smoothly",0.41
"snappy",0.21
"snazzy",0.21
"sociable",0.41
"soft",0.01
"softer",0.21
"solace",0.21
"solicitous",0.61
"solicitously",0.81
"solid",0.11
"solidarity",0.61
"soothe",0.21
"soothingly",0.61
"sophisticated",0.91
"soulful",0.31
"soundly",0.31
"soundness",0.51
"spacious",0.41
"sparkle",0.31
"sparkling",0.51
"spectacular",0.71
"spectacularly",0.91
"speedily",0.41
"speedy",0.21
"spellbind",0.51
"spellbinding",0.81
"spellbindingly",1.01
"spellbound",0.61
"spirited",0.41
"spiritual",0.51
"splendid",0.41
"splendidly",0.61
"splendor",0.41
"spontaneous",0.71
"sporty",0.21
"spotless",0.41
"sprightly",0.51
"stability",0.51
"stabilize",0.51
"stable",0.21
"stainless",0.51
"standout",0.41
"state-of-the-art",1.21
"stately",0.31
"statuesque",0.61
"staunch",0.31
"staunchly",0.51
"staunchness",0.71
"steadfast",0.51
"steadfastly",0.71
"steadfastness",0.91
"steadiest",0.51
"steadiness",0.61
"steady",0.21
"stellar",0.31
"stellarly",0.51
"stimulate",0.51
"stimulates",0.61
"stimulating",0.71
"stimulative",0.71
"stirringly",0.61
"straighten",0.61
"straightforward",1.11
"streamlined",0.71
"striking",0.41
"strikingly",0.61
"striving",0.41
"strong",0.21
"stronger",0.41
"strongest",0.51
"stunned",0.31
"stunning",0.41
"stunningly",0.61
"stupendous",0.61
"stupendously",0.81
"sturdier",0.41
"sturdy",0.21
"stylish",0.31
"stylishly",0.51
"stylized",0.41
"suave",0.11
"suavely",0.31
"sublime",0.31
"subsidize",0.51
"subsidized",0.61
"subsidizes",0.61
"subsidizing",0.71
"substantive",0.71
"succeed",0.31
"succeeded",0.51
"succeeding",0.61
"succeeds",0.41
"succes",0.21
"success",0.31
"successes",0.51
"successful",0.61
"successfully",0.81
"suffice",0.31
"sufficed",0.41
"suffices",0.41
"sufficient",0.61
"sufficiently",0.81
"suitable",0.41
"sumptuous",0.51
"sumptuously",0.71
"sumptuousness",0.91
"super",0.11
"superb",0.21
"superbly",0.41
"superior",0.41
"superiority",0.71
"supple",0.21
"support",0.31
"supported",0.51
"supporter",0.51
"supporting",0.61
"supportive",0.61
"supports",0.41
"supremacy",0.51
"supreme",0.31
"supremely",0.51
"supurb",0.21
"supurbly",0.41
"surmount",0.41
"surpass",0.31
"surreal",0.31
"survival",0.41
"survivor",0.41
"sustainability",1.01
"sustainable",0.71
"swank",0.11
"swankier",0.41
"swankiest",0.51
"swanky",0.21
"sweeping",0.41
"sweet",0.11
"sweeten",0.31
"sweetheart",0.61
"sweetly",0.31
"sweetness",0.51
"swift",0.11
"swiftness",0.51
"talent",0.21
"talented",0.41
"talents",0.31
"tantalize",0.51
"tantalizing",0.71
"tantalizingly",0.91
"tempt",0.11
"tempting",0.41
"temptingly",0.61
"tenacious",0.51
"tenaciously",0.71
"tenacity",0.41
"tender",0.21
"tenderly",0.41
"terrific",0.41
"terrifically",0.81
"thank",0.11
"thankful",0.41
"thinner",0.31
"thoughtful",0.61
"thoughtfully",0.81
"thoughtfulness",1.01
"thrift",0.21
"thrifty",0.31
"thrill",0.21
"thrilled",0.41
"thrilling",0.51
"thrillingly",0.71
"thrills",0.31
"thrive",0.21
"thriving",0.41
"thumb-up",0.41
"thumbs-up",0.51
"tickle",0.21
"tidy",0.01
"time-honored",0.81
"timely",0.21
"tingle",0.21
"titillate",0.51
"titillating",0.71
"titillatingly",0.91
"togetherness",0.81
"tolerable",0.51
"toll-free",0.51
"top",0
"top-notch",0.51
"top-quality",0.71
"topnotch",0.41
"tops",0.01
"tough",0.11
"tougher",0.31
"toughest",0.41
"traction",0.41
"tranquil",0.41
"tranquility",0.71
"transparent",0.71
"treasure",0.41
"tremendously",0.81
"trendy",0.21
"triumph",0.31
"triumphal",0.51
"triumphant",0.61
"triumphantly",0.81
"trivially",0.51
"trophy",0.21
"trouble-free",0.81
"trump",0.11
"trumpet",0.31
"trust",0.11
"trusted",0.31
"trusting",0.41
"trustingly",0.61
"trustworthiness",1.11
"trustworthy",0.71
"trusty",0.21
"truthful",0.41
"truthfully",0.61
"truthfulness",0.81
"twinkly",0.31
"ultra-crisp",0.71
"unabashed",0.51
"unabashedly",0.71
"unaffected",0.61
"unassailable",0.81
"unbeatable",0.61
"unbiased",0.41
"unbound",0.31
"uncomplicated",0.91
"unconditional",0.91
"undamaged",0.51
"undaunted",0.51
"understandable",1.01
"undisputable",0.81
"undisputably",0.81
"undisputed",0.61
"unencumbered",0.81
"unequivocal",0.71
"unequivocally",0.91
"unfazed",0.31
"unfettered",0.61
"unforgettable",0.91
"unity",0.11
"unlimited",0.51
"unmatched",0.51
"unparalleled",0.81
"unquestionable",1.01
"unquestionably",1.01
"unreal",0.21
"unrestricted",0.81
"unrivaled",0.51
"unselfish",0.51
"unwavering",0.61
"upbeat",0.21
"upgradable",0.61
"upgradeable",0.71
"upgraded",0.41
"upheld",0.21
"uphold",0.21
"uplift",0.21
"uplifting",0.51
"upliftingly",0.71
"upliftment",0.61
"upscale",0.31
"usable",0.21
"useable",0.31
"useful",0.21
"user-friendly",0.91
"user-replaceable",1.21
"valiant",0.31
"valiantly",0.51
"valor",0.11
"valuable",0.41
"variety",0.31
"venerate",0.41
"verifiable",0.61
"veritable",0.51
"versatile",0.51
"versatility",0.71
"vibrant",0.31
"vibrantly",0.51
"victorious",0.61
"victory",0.31
"viewable",0.41
"vigilance",0.51
"vigilant",0.41
"virtue",0.21
"virtuous",0.41
"virtuously",0.61
"visionary",0.51
"vivacious",0.51
"vivid",0.11
"vouch",0.11
"vouchsafe",0.51
"warm",0.01
"warmer",0.21
"warmhearted",0.71
"warmly",0.21
"warmth",0.21
"wealthy",0.31
"welcome",0.31
"well",0.01
"well-backlit",0.81
"well-balanced",0.91
"well-behaved",0.81
"well-being",0.61
"well-bred",0.51
"well-connected",1.01
"well-educated",0.91
"well-established",1.21
"well-informed",0.91
"well-intentioned",1.21
"well-known",0.61
"well-made",0.51
"well-managed",0.81
"well-mannered",0.91
"well-positioned",1.11
"well-received",0.91
"well-regarded",0.91
"well-rounded",0.81
"well-run",0.41
"well-wishers",0.81
"wellbeing",0.51
"whoa",0.01
"wholeheartedly",1.01
"wholesome",0.51
"whooa",0.11
"whoooa",0.21
"wieldy",0.21
"willing",0.31
"willingly",0.51
"willingness",0.71
"win",0
"windfall",0.41
"winnable",0.41
"winner",0.21
"winners",0.31
"winning",0.31
"wins",0.01
"wisdom",0.21
"wise",0.01
"wisely",0.21
"witty",0.11
"won",0
"wonder",0.21
"wonderful",0.51
"wonderfully",0.71
"wonderous",0.51
"wonderously",0.71
"wonders",0.31
"wondrous",0.41
"woo",0
"work",0.01
"workable",0.41
"worked",0.21
"works",0.11
"world-famous",0.81
"worth",0.11
"worth-while",0.71
"worthiness",0.61
"worthwhile",0.61
"worthy",0.21
"wow",0
"wowed",0.11
"wowing",0.21
"wows",0.01
"yay",0
"youthful",0.41
"zeal",0.01
"zenith",0.21
"zest",0.01
"zippy",0.11
